ID,Time,Pos,Name,Team Name,Team Scoring,County
714,19:51:00,114,Una Mollen,Tullamore,Harriers A.C.,Tullamore Harriers A.C.,Offaly
617,19:53:00,115,Christine Roche,Liffey Valley A.C.,Liffey Valley A.C.,
731,20:00:00,116,Angela McEvoy,St. Finbarrs A.C.,St. Finbarrs A.C.,Cork
765,20:00:00,117,Marie Donegan,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
635,20:03:00,118,Deirdre Deering,Sligo A.C.,Sligo A.C.,
813,20:04:00,119,Phyllis Browne,Star of the Sea A.C.,,Meath
579,20:05:00,120,Maura Meenaghan,Tuam A.C.,Tuam A.C.,Galway (A)
802,20:08:00,121,Una Reilly,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
707,20:10:00,122,Martina Miskelly,Bohermeen A.C.,,Meath
630,20:10:00,123,Fiona McCarthy,North Sligo A.C.,North Sligo A.C.,Sligo
783,20:12:00,124,Bernie Kelly,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
733,20:18:00,125,Kitty Buckley,St. Finbarrs A.C.,St. Finbarrs A.C.,Cork
693,20:27:00,126,Clare Kavanagh,Liffey Valley A.C.,Liffey Valley A.C.,
555,20:32:00,127,Olivia Connolly,St. Finbarrs A.C.,St. Finbarrs A.C.,
749,20:41:00,128,Majella Ní Chríocháin,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
760,20:46:00,129,Nuala Moran,Mullingar Harriers A.C.,Mullingar Harriers A.C.,Westmeath
588,20:52:00,130,Suzanne Watters,North Sligo A.C.,North Sligo A.C.,Sligo
636,20:54:00,131,Patricia Barry,St. Catherines (Cork) A.C.,,
755,21:21:00,132,Marrion Morris,Bohermeen A.C.,,Meath
803,21:40:00,133,Judith Roche,Loughrea A.C.,,Galway
577,22:01:00,134,Katrin Antweiler,Tuam A.C.,Tuam A.C.,Galway (A)
786,22:31:00,135,Marion O'Loughlinn,Ennis Track A.C.,,
732,22:39:00,136,Eileen Buckley,St. Finbarrs A.C.,St. Finbarrs A.C.,Cork
621,22:45:00,137,Audrey Greaney,Tuam A.C.,Tuam A.C.,Galway (A)
578,24:17:00,138,Assumpta Meenaghan,Tuam A.C.,Tuam A.C.,Galway (A)
741,25:42:00,139,Bernie Byrne,Clonliffe Harriers A.C.,,Dublin
811,28:39:00,140,June Comiskey,Raheny Shamrock A.C.,Raheny Shamrock A.C.,
