Place,No,Name,Club,Time
1,790,Brendan O'Neill,DSD,28.05
2,821,John Travers,Donore Harriers A.C.,28.10
3,778,Mick Clohisey,Raheny Shamrock A.C.,28.15
4,779,Conor Dooney,Raheny Shamrock A.C.,28.29
5,791,Alan McCormack,DSD,29.06
6,781,Paolo Ciappa,Raheny Shamrock A.C.,29.08
7,766,C. Rooney,Clonliffe Harriers A.C.,29.16
8,761,Mark Ryan,Rathfarnham WSAF A.C.,29.22
9,811,Mark Dooley,Donore Harriers A.C.,29.28
10,794,Emmet Jennings,DSD,29.30
11,741,John Frazer,Crusaders A.C.,29.35
12,792,John Eves,DSD,29.42
13,796,Robert Corbally,DSD,29.47
14,752,Louis McCarthy,Rathfarnham WSAF A.C.,29.52
15,812,John Dunne,Donore Harriers A.C.,29.53
16,825,Karole Cronin,Sportsworld A.C.,30.05
17,780,Cillian O’Leary,Raheny Shamrock A.C.,30.10
18,760,Mathew Horrigan,Rathfarnham WSAF A.C.,30.14
19,814,Caoimhin Kelly,Donore Harriers A.C.,30.18
20,759,Eoghain McGinley,Rathfarnham WSAF A.C.,30.24
21,762,David Scanlon,Rathfarnham WSAF A.C.,30.34
22,743,Alban Coghlan,Crusaders A.C.,30.44
23,753,Paul Fleming,Rathfarnham WSAF A.C.,30.49
24,793,Gary Crossan,DSD,30.52
25,803,Damien Cauveut,Liffey Valley A.C.,31.02
26,782,Bernard Roe,Raheny Shamrock A.C.,31.07
27,826,Gavin Finlay,Sportsworld A.C.,31.10
28,783,Simon Devenney,Raheny Shamrock A.C.,31.12
29,745,Vinnie McGuinness,Crusaders A.C.,31.17
30,820,Colm O'Connell,Donore Harriers A.C.,31.18
31,742,Shane Collins,Crusaders A.C.,31.22
32,755,Brian Furey,Rathfarnham WSAF A.C.,31.27
33,786,Feidhlim Kelly,Raheny Shamrock A.C.,31.31
34,764,David Power,Rathfarnham WSAF A.C.,31.35
35,744,Rob Cross,Crusaders A.C.,31.39
36,816,Gavin Keogh,Donore Harriers A.C.,31.40
37,788,Daire Bermingham,Raheny Shamrock A.C.,31.44
38,799,Chris Morgan,Liffey Valley A.C.,31.44
39,819,Aogan MacDomhnaill,Liffey Valley A.C.,32.01
40,763,Patrick Marjolet,Rathfarnham WSAF A.C.,32.13
41,769,T. Shercock,Clonliffe Harriers A.C.,32.22
42,822,Fergal Whitty,Donore Harriers A.C.,32.26
43,824,Paul Cowhie,Civil Service A.C.,32.30
44,829,Paul 0'Connell,Sportsworld A.C.,32.32
45,808,Brendan Beere,Liffey Valley A.C.,32.41
46,801,Gavin Curran,Liffey Valley A.C.,32.46
47,805,Mike Griffin,Liffey Valley A.C.,32.54
48,827,Trevor Sweeney,Sportsworld A.C.,33.08
49,809,Paul Balfe,Liffey Valley A.C.,33.22
50,768,S. Doran,Clonliffe Harriers A.C.,33.41
51,746,Michael Kiely,Crusaders A.C.,33.55
52,751,Garret Dunne,Crusaders A.C.,34.14
53,830,Packie Enright,Sportsworld A.C.,34.40
54,828,Michael Cunningham,Sportsworld A.C.,34.50
55,747,Gary Park,Crusaders A.C.,34.54
56,773,D. Dunwoody,Clonliffe Harriers A.C.,35.28
57,784,Donal Foley,Raheny Shamrock A.C.,35.40
58,770,T. Fraine,Clonliffe Harriers A.C.,36.25
59,746,Michael Kiely,Crusaders A.C.,38.20
60,776,J.Bradley-Ward,Clonliffe Harriers A.C.,N/T
